"id","country_id:id","code","name"
"state_id_1","base.id","01","DKI Jakarta"
"state_id_2","base.id","02","Banten"
"state_id_3","base.id","03","Jawa Barat"
"state_id_4","base.id","04","Sumatera Utara"
"state_id_5","base.id","05","Nanggroe Aceh Darussalam (NAD)"
"state_id_6","base.id","06","Sumatera Barat"
"state_id_7","base.id","07","Riau"
"state_id_8","base.id","08","Kepulauan Riau"
"state_id_9","base.id","09","Sumatera Selatan"
"state_id_10","base.id","10","Bangka Belitung"
"state_id_11","base.id","11","Lampung"
"state_id_12","base.id","12","Jambi"
"state_id_13","base.id","13","Bengkulu"
"state_id_14","base.id","14","Jawa Tengah"
"state_id_15","base.id","15","DI Yogyakarta"
"state_id_16","base.id","16","Jawa Timur"
"state_id_17","base.id","17","Kalimantan Selatan"
"state_id_18","base.id","18","Kalimantan Tengah"
"state_id_19","base.id","19","Kalimantan Timur"
"state_id_20","base.id","20","Kalimantan Utara"
"state_id_21","base.id","21","Kalimantan Barat"
"state_id_22","base.id","22","Bali"
"state_id_23","base.id","23","Nusa Tenggara Barat (NTB)"
"state_id_24","base.id","24","Nusa Tenggara Timur (NTT)"
"state_id_25","base.id","25","Sulawesi Selatan"
"state_id_26","base.id","26","Sulawesi Barat"
